編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPRQMLTJNHMFFBF09CC,7,17.34,見其他登記事項,鋼筋混凝土造,99年1月4日,十三層,
RPRQMLTJNHMFFBF09CC,7,7.58,見其他登記事項,鋼筋混凝土造,99年1月4日,十二層,
RPSQMLTJNHMFFBF56CC,26,559.98,見其他登記事項,鋼造,80年4月22日,一層,
RPTQMLTJNHMFFBF66CC,17,75.34,住家用,鋼筋混凝土造,89年6月30日,九層,
RPTQMLTJNHMFFBF66CC,17,25.90,共有部份,鋼筋混凝土造,89年6月30日,九層,
RPUQMLTJNHMFFBF76CC,12,55.34,住家用,鋼筋混凝土造,94年10月21日,十二層,
RPUQMLTJNHMFFBF76CC,12,46.44,共有部份,鋼筋混凝土造,94年10月21日,十三層,
RPWQMLTJNHMFFBF96CC,7,83.04,見其他登記事項,鋼筋混凝土造,99年1月4日,十二層,
RPWQMLTJNHMFFBF96CC,7,44.64,見其他登記事項,鋼筋混凝土造,99年1月4日,十三層,
RPWQMLTJNHMFFBF96CC,7,20.06,見其他登記事項,鋼筋混凝土造,99年1月4日,十三層,
RPWQMLTJNHMFFBF96CC,7,11.95,見其他登記事項,鋼筋混凝土造,99年1月4日,十二層,
RPWQMLTJNHMFFBF96CC,7,8.80,見其他登記事項,鋼筋混凝土造,99年1月4日,十二層,
RPWQMLTJNHMFFBF96CC,7,61.30,見其他登記事項,鋼筋混凝土造,99年1月4日,十二層,
RPXQMLTJNHMFFBF07CC,10,62.35,住家用,鋼筋混凝土造,96年8月17日,十九層,
RPXQMLTJNHMFFBF07CC,10,4.44,共有部份,鋼筋混凝土造,96年8月17日,十九層,
RPXQMLTJNHMFFBF07CC,10,17.48,共有部份,鋼筋混凝土造,96年8月17日,十九層,
RPXQMLTJNHMFFBF07CC,11,2.81,見其他登記事項,鋼筋混凝土造,95年8月25日,十九層,
RPXQMLTJNHMFFBF07CC,11,.87,共有部份,鋼筋混凝土造,95年8月25日,十九層,
RPXQMLTJNHMFFBF07CC,10,.42,見其他登記事項,鋼筋混凝土造,96年8月17日,十八層,
RPXQMLTJNHMFFBF07CC,10,1.03,共有部份,鋼筋混凝土造,96年8月17日,十九層,
RPORMLTJNHMFFBF88CC,28,172.81,住家用,鋼筋混凝土造,78年6月26日,十層,
RPORMLTJNHMFFBF88CC,28,16.98,共有部份,鋼筋混凝土造,78年6月26日,十層,
RPQRMLTJNHMFFBF09CC,3,81.86,見其他登記事項,鋼筋混凝土造,103年1月27日,十五層,
RPQRMLTJNHMFFBF09CC,3,51.60,見其他登記事項,鋼筋混凝土造,103年1月27日,十五層,
RPQRMLTJNHMFFBF09CC,3,14.85,見其他登記事項,鋼筋混凝土造,103年1月27日,十五層,
RPOSMLTJNHMFFBF98CC,13,44.72,商業用,鋼筋混凝土造,93年4月15日,十一層,
RPOSMLTJNHMFFBF98CC,13,5.95,共有部份,鋼筋混凝土造,93年4月15日,十一層,
RPOSMLTJNHMFFBF98CC,13,8.19,共有部份,鋼筋混凝土造,93年4月15日,十一層,
RPSNMLTJNHMFFGF76CC,18,27.43,商業用,鋼筋混凝土造,87年10月31日,十七層,
RPSNMLTJNHMFFGF76CC,18,.88,共有部分,鋼筋混凝土造,87年10月31日,十七層,
RPSNMLTJNHMFFGF76CC,18,8.80,共有部分,鋼筋混凝土造,87年10月31日,十七層,
RPVNMLTJNHMFFGF07CC,38,102.00,住家用,鋼筋混凝土造,68年4月10日,五層,
RPPOMLTJNHMFFGF56CC,36,24.80,住家用,鋼筋混凝土造,70年9月29日,五層,
RPQQMLTJNHMFFBF56EC,12,72.69,住家用,鋼筋混凝土造,94年10月14日,十二層,
RPQQMLTJNHMFFBF56EC,12,58.18,共有部份,鋼筋混凝土造,94年10月14日,十三層,
RPUNMLTJNHMFFGF07DC,3,61.53,住家用,鋼筋混凝土造,102年12月6日,二十二層,
RPUNMLTJNHMFFGF07DC,3,24.63,見其他登記事項,鋼筋混凝土造,102年12月6日,二十二層,
RPUNMLTJNHMFFGF07DC,3,17.75,見其他登記事項,鋼筋混凝土造,102年12月6日,二十二層,
RPUNMLTJNHMFFGF07DC,3,12.93,見其他登記事項,鋼筋混凝土造,102年12月6日,二十二層,
RPSNMLKKNHMFFHF68CC,17,152.61,見其他登記事項,見其他登記事項,89年9月30日,十七層,
RPSNMLKKNHMFFHF68CC,17,66.38,共有部分,見其他登記事項,89年9月30日,十七層,
RPXNMLKKNHMFFHF56CC,8,184.49,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,37.85,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,18.61,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,29.90,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,167.81,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,34.43,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,16.91,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,27.23,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,168.28,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,34.53,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,16.98,共有部分,見其他登記事項,98年10月15日,十八層,
RPXNMLKKNHMFFHF56CC,8,27.32,共有部分,見其他登記事項,98年10月15日,十八層,
RPOOMLKKNHMFFHF38CC,8,168.28,見其他登記事項,見其他登記事項,98年10月15日,十八層,
RPOOMLKKNHMFFHF38CC,8,34.46,共有部分,見其他登記事項,98年10月15日,十八層,
RPOOMLKKNHMFFHF38CC,8,16.98,共有部分,見其他登記事項,98年10月15日,十八層,
RPOOMLKKNHMFFHF38CC,8,27.32,共有部分,見其他登記事項,98年10月15日,十八層,
RPOOMLKKNHMFFHF38CC,8,29.04,共有部分,見其他登記事項,98年10月15日,十八層,
RPQOMLKKNHMFFHF58CC,35,80.13,住家用,鋼筋混凝土造,71年9月29日,五層,
RPROMLKKNHMFFHF68CC,10,35.80,見其他登記事項,鋼筋混凝土造,96年7月31日,十四層,
RPROMLKKNHMFFHF68CC,10,.85,共有部分,鋼筋混凝土造,96年7月31日,十四層,
RPROMLKKNHMFFHF68CC,10,16.49,共有部分,鋼筋混凝土造,96年7月31日,十四層,
RPROMLKKNHMFFHF68CC,10,1.61,共有部分,鋼筋混凝土造,96年7月31日,十四層,
RPROMLKKNHMFFHF68CC,10,2.05,共有部分,鋼筋混凝土造,96年7月31日,十四層,
RPSOMLKKNHMFFHF78CC,38,62.25,商業用,鋼筋混凝土造,68年8月17日,五層,
RPUOMLKKNHMFFHF98CC,39,88.81,住家用,鋼筋混凝土造,67年8月11日,五層,
RPVOMLKKNHMFFHF09CC,16,291.56,見其他登記事項,鋼筋混凝土造,90年1月19日,十四層,
RPVOMLKKNHMFFHF09CC,16,80.12,共有部分,鋼筋混凝土造,90年1月19日,十四層,
RPXOMLKKNHMFFHF66CC,9,38.75,住家用,鋼骨鋼筋混凝土造,97年5月1日,十九層,
RPXOMLKKNHMFFHF66CC,9,12.65,共有部分,鋼骨鋼筋混凝土造,97年5月1日,十九層,
RPXOMLKKNHMFFHF66CC,9,13.91,共有部分,鋼骨鋼筋混凝土造,97年5月1日,十九層,
RPOPMLKKNHMFFHF48CC,31,93.26,住家用,鋼筋混凝土造,75年5月27日,五層,
RPTPMLKKNHMFFHF98CC,17,268.15,工業用,鋼筋混凝土造,89年4月1日,十三層,
RPTPMLKKNHMFFHF98CC,17,99.30,共有部分,鋼筋混凝土造,89年4月1日,十三層,
RPUPMLKKNHMFFHF09CC,17,258.32,工業用,鋼筋混凝土造,89年4月1日,十三層,
RPUPMLKKNHMFFHF09CC,17,213.97,工業用,鋼筋混凝土造,89年4月1日,十三層,
RPUPMLKKNHMFFHF09CC,17,174.57,共有部分,鋼筋混凝土造,89年4月1日,十三層,
RPUOMLKKNHMFFIF09CC,8,87.57,見其他登記事項,鋼筋混凝土造,98年8月27日,二十八層,
RPVOMLKKNHMFFIF56CC,8,87.57,見其他登記事項,鋼筋混凝土造,98年8月27日,二十八層,
RPXOMLKKNHMFFIF76CC,,109.20,住家用,加強磚造,,二層,
RPPPMLKKNHMFFIF68CC,8,152.42,見其他登記事項,鋼筋混凝土造,98年7月30日,二十五層,
RPQPMLKKNHMFFIF78CC,8,186.28,住家用,鋼筋混凝土造,98年4月20日,十五層,
RPRPMLKKNHMFFIF88CC,23,153.34,住家用,鋼筋混凝土造,83年7月1日,十三層,
RPSPMLKKNHMFFIF98CC,37,75.46,住家用,鋼筋混凝土造,69年3月14日,四層,
RPUOMLKKNHMFFBF38CC,10,86.35,住家用,鋼筋混凝土造,95年11月29日,十三層,
RPUOMLKKNHMFFBF38CC,10,50.84,共有部份,鋼筋混凝土造,95年11月29日,十三層,
RPVOMLKKNHMFFCF58CC,18,74.10,商業用,鋼筋混凝土造,88年5月11日,十二層,
RPVOMLKKNHMFFCF58CC,18,6.13,共有部分,鋼筋混凝土造,88年5月11日,十二層,
RPVOMLKKNHMFFCF58CC,18,4.31,共有部分,鋼筋混凝土造,88年5月11日,十二層,
RPOPMLKKNHMFFCF97CC,27,1148.92,工商用,鋼筋混凝土造,78年12月30日,十層,
RPOPMLKKNHMFFCF97CC,27,130.15,共有部分,鋼筋混凝土造,78年12月30日,十層,
RPOPMLKKNHMFFCF97CC,27,143.97,共有部分,鋼筋混凝土造,78年12月30日,十層,
RPVNMLKKNHMFFDF58CC,10,40.16,住家用,鋼筋混凝土造,96年1月30日,十二層,
RPPOMLKKNHMFFDF08CC,17,190.07,見其他登記事項,鋼筋混凝土造,88年11月11日,十四層,
RPQOMLKKNHMFFDF18CC,1,767.94,見其他登記事項,見其他登記事項,105年7月21日,八層,
RPQOMLKKNHMFFDF18CC,1,767.94,見其他登記事項,見其他登記事項,105年7月21日,八層,
RPQOMLKKNHMFFDF18CC,1,989.41,見其他登記事項,見其他登記事項,105年7月21日,八層,
RPWNMLLKNHMFFBF58CC,1,181.03,見其他登記事項,鋼筋混凝土造,105年4月25日,十三層,
RPWNMLLKNHMFFBF58CC,1,119.33,見其他登記事項,鋼筋混凝土造,105年4月25日,十三層,
RPVOMLLKNHMFFBF58CC,36,93.60,住家用,鋼筋混凝土造,69年12月2日,四層,
RPQNMLLKNHMFFIF68CC,,86.28,住家用,鋼筋混凝土造,,四層,
RPQNMLLKNHMFFHF58CC,15,61.93,見其他登記事項,鋼筋混凝土造,90年11月6日,十六層,
RPQNMLLKNHMFFHF58CC,15,12.22,共有部份,鋼筋混凝土造,90年11月6日,十六層,
RPQNMLLKNHMFFHF58CC,15,15.07,共有部份,鋼筋混凝土造,90年11月6日,十六層,
RPSNMLLKNHMFFHF78CC,27,138.97,住家用,鋼筋混凝土造,79年3月14日,五層,
RPSNMLLKNHMFFHF78CC,27,3.52,共有部份,鋼筋混凝土造,79年3月14日,五層,
RPTNMLLKNHMFFHF88CC,4,152.88,見其他登記事項,見其他登記事項,102年1月31日,十九層,
RPTNMLLKNHMFFHF88CC,4,19.82,見其他登記事項,見其他登記事項,102年1月31日,十九層,
RPTNMLLKNHMFFHF88CC,4,65.87,見其他登記事項,見其他登記事項,102年1月31日,十九層,
RPUNMLLKNHMFFHF98CC,63,39.23,住家用,加強磚造,43年1月1日,一層,
RPVNMLLKNHMFFHF09CC,13,77.31,住家用,鋼筋混凝土造,93年9月17日,十四層,
