鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
安樂區,房地(土地+建物),基隆市安樂區中和路168巷11弄1~30號,29.79,住,,,1060317,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0840117,111.95,3,2,2,有,有,2850000,25460,,0.0,0,,RPUPMLNLNHMFFCC48CA
中正區,房地(土地+建物)+車位,基隆市中正區觀海街121~150號,22.66,住,,,1060320,土地1建物1車位1,七層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,153.46,3,2,2,有,有,4380000,28542,坡道平面,0.0,0,,RPXNMLKKNHMFFBC08CA
中正區,房地(土地+建物),基隆市中正區觀海街121~150號,22.39,住,,,1060320,土地1建物1車位0,六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,112.59,3,2,2,有,有,3500000,31086,,0.0,0,,RPOOMLKKNHMFFBC27CA
中正區,房地(土地+建物),基隆市中正區新豐街391~420號,22.07,住,,,1060424,土地2建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850309,116.71000000000001,3,2,2,有,有,4680000,40099,,0.0,0,,RPVOMLTJNHMFFBC78CA
信義區,土地,深美段361~390地號,53.79,其他,,,1060420,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,204402,3800,,0.0,0,向政府機關承購之案件。承買人有2人,RPPNMLTKNHMFFBC18CA
仁愛區,房地(土地+建物),基隆市仁愛區成功一路113巷2弄1~30號,38.0,住,,,1060321,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0621213,48.5,4,2,2,有,無,4500000,92784,,0.0,0,含增建或未登記建物。,RPOOMLMKNHMFFBC47CA
中正區,房地(土地+建物)+車位,基隆市中正區觀海街91~120號,15.03,住,,,1060416,土地2建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880114,119.58,2,1,2,有,有,3100000,25924,坡道平面,0.0,0,,RPWNMLNLNHMFFBC38CA
信義區,房地(土地+建物)+車位,基隆市信義區深澳坑路1~30號,20.24,住,,,1060410,土地1建物1車位1,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841117,160.71,2,2,1,有,有,3700000,23023,坡道平面,0.0,0,,RPXNMLNLNHMFFBC48CA
安樂區,房地(土地+建物),基隆市安樂區中和路168巷2弄1~30號,28.41,住,,,1040422,土地3建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0871210,102.45,3,2,2,有,無,2880000,28109,,0.0,0,,RPXOMLKKNHMFFCC28CA
中山區,房地(土地+建物)+車位,基隆市中山區復興路212巷8弄31~60號,126.92,住,,,1060322,土地3建物1車位1,全,四層,透天厝,住家用,鋼筋混凝土造,0880817,211.53,4,3,4,有,無,12000000,56730,一樓平面,0.0,0,含增建部分,RPQNMLLKNHMFFCC57CA
安樂區,房地(土地+建物),基隆市安樂區安一路331~360號,19.55,住,,,1060404,土地6建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681227,57.41,2,2,1,有,無,2000000,34837,,0.0,0,親友、員工或其他特殊關係間之交易。含增建部份一併移轉。,RPSOMLKKNHMFFCC77CA
安樂區,房地(土地+建物),基隆市安樂區安一路100巷271~300號,20.0,住,,,1060419,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720331,41.02,3,2,1,有,無,700000,17065,,0.0,0,,RPUOMLKKNHMFFCC97CA
暖暖區,房地(土地+建物)+車位,基隆市暖暖區源遠路361~390號,26.11,住,,,1060410,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041228,169.69,3,2,2,有,有,7500000,44198,坡道平面,36.4,0,,RPQNMLQKNHMFFCC08CA
