鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
信義區,房地(土地+建物),臺北市信義區永吉路225巷32弄1~30號,25.3,住,,,1060221,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691114,93.21,3,1,1,有,有,6971000,74788,,0.0,0,親友、員工或其他特殊關係間之交易。,RPWNMLLJNHMFFDA08DA
士林區,房地(土地+建物)+車位,臺北市士林區文林路541~570號,13.46,商,,,1060401,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050517,129.69,3,2,1,有,有,23620000,224040,坡道平面,36.76,2800000,含增建或未登記建物。,RPQOMLPJNHMFFEA08DA
士林區,房地(土地+建物),臺北市士林區天玉街27巷31~60號,23.56,住,,,1060401,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0710715,116.69999999999999,3,2,1,有,有,17000000,145673,,0.0,0,含增建或未登記建物。,RPROMLPJNHMFFEA18DA
北投區,房地(土地+建物)+車位,臺北市北投區石牌路二段315巷1~30號,42.53,住,,,1060401,土地1建物1車位1,五層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860522,146.13,4,2,2,有,有,18500000,126600,升降機械,0.0,1500000,含增建或未登記建物-陽台及花台加窗。權利人二人,RPXNMLSJNHMFFEA98DA
北投區,房地(土地+建物),臺北市北投區杏林二路121~150號,30.7,住,,,1060301,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750814,104.73,3,2,1,有,無,12000000,114580,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSPMLQLNHMFFEA58CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,35.2,住,,,1020601,土地1建物1車位2,二十五層，見其他登記事項,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,492.78,3,2,4,有,有,138000000,302725,坡道平面,56.74,6000000,,RPPNMLRLNHMFFEA18CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,13.45,住,,,1020301,土地1建物1車位1,三層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,193.23000000000002,3,2,2,有,有,39600000,222007,坡道平面,28.37,3000000,,RPQNMLRLNHMFFEA28CA
北投區,房地(土地+建物),臺北市北投區文林北路121~150號,13.49,住,,,1020401,土地1建物1車位0,二層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,167.4,3,2,2,有,有,39000000,232975,,0.0,0,,RPRNMLRLNHMFFEA38CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,35.17,住,,,1020401,土地1建物1車位2,二十五層，見其他登記事項,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,492.55,3,2,4,有,有,142730000,311902,坡道平面,56.74,6800000,,RPSNMLRLNHMFFEA48CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,13.29,住,,,1020401,土地1建物1車位1,六層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,198.69,3,2,2,有,有,48000000,261273,坡道平面,28.37,3500000,,RPTNMLRLNHMFFEA58CA
北投區,房地(土地+建物)+車位,臺北市北投區文林北路121~150號,13.42,住,,,1020401,土地1建物1車位1,六層,二十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1060220,193.39999999999998,3,2,2,有,有,46000000,257529,坡道平面,28.37,3500000,,RPUNMLRLNHMFFEA68CA
北投區,房地(土地+建物)+車位,臺北市北投區明德路1~30號,47.53,住,,,1051201,土地1建物1車位1,二層,十層,華廈(10層含以下有電梯),住家用,鋼骨鋼筋混凝土造,0921107,227.95,4,2,2,有,有,12429000,54525,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。為尊重權利人隱私權主張，地政士無法入屋現場勘查，由權利人提供建物現況格局實際資訊，供地政士申報登錄。,RPWOMLKKNHMFFEA18CA
士林區,建物,臺北市士林區重慶北路四段151~180號,0.0,,,,1060301,土地0建物1車位0,一層，夾層,十層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860113,65.91,0,0,1,無,無,1060000,16083,,0.0,0,權利人2人親友、員工或其他特殊關係間之交易。,RPSQMLKKNHMFFEA97CA
士林區,土地,至善段四小段181~210地號,183.25,其他,,,1060401,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,27285,,0.0,0,,RPPOMLLKNHMFFEA57CA
士林區,房地(土地+建物),臺北市士林區社子街63巷9弄1~30號,28.1,住,,,1060301,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0700227,97.41,3,2,1,有,無,8000000,82127,,0.0,0,本案有他共人未出面會辦，已依土地法34條之1處理及提存他共有人應分配之價金,RPPNMLMKNHMFFEA57CA
大安區,車位,臺北市大安區信義路四段1~30號,2.3,商,,,1060401,土地0建物0車位1,地下層,十二層,其他,見使用執照,鋼筋混凝土造,0701106,41.14,0,0,0,有,有,3000000,,坡道平面,0.0,3000000,,RPTNMLMJNHMFFFA97CA
