編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNJNHMFFBC57CA,22,99.70,見其他登記事項,鋼筋混凝土造,84年6月10日,四層,二層 夾層
RPQNMLNJNHMFFBC57CA,22,5.25,共用部份,鋼筋混凝土造,84年6月10日,四層,
RPQNMLNJNHMFFBC57CA,22,1.53,共用部份,鋼筋混凝土造,84年6月10日,五層,
RPVNMLSJNHMFFBC58CA,17,74.19,住家用,鋼筋混凝土造,89年1月28日,七層,五層
RPVNMLSJNHMFFBC58CA,17,20.30,共用部份,鋼筋混凝土造,89年1月28日,七層,
RPPNMLRJNHMFFBC87CA,42,77.41,住家用,鋼筋混凝土加強磚造,64年10月7日,四層,四層
RPVNMLLKNHMFFBC97CA,38,80.58,住家用,鋼筋混凝土造,68年5月8日,四層,三層
RPWNMLLKNHMFFBC08CA,18,92.47,住家用,鋼筋混凝土造,88年1月14日,十五層,十三層
RPWNMLLKNHMFFBC08CA,18,13.49,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPWNMLLKNHMFFBC08CA,18,4.93,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPWNMLLKNHMFFBC08CA,18,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLLKNHMFFBC08CA,18,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLLKNHMFFBC08CA,18,38.72,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPRNMLMLNHMFFBC77CA,45,13.87,住家用,鋼筋混凝土造,60年10月26日,四層,一層 騎樓
RPRNMLMLNHMFFBC77CA,45,10.76,住家用,鋼筋混凝土造,60年10月26日,四層,地下層
RPTNMLLKNHMFFBC77CA,29,52.30,住家用,鋼筋混凝土造,76年12月19日,二層,一層 二層
RPQNMLPJNHMFFBC77CA,22,108.20,住家用,鋼筋混凝土造,84年5月25日,七層,三層
RPQNMLPJNHMFFBC77CA,22,72.40,共用部份,鋼筋混凝土造,84年5月25日,七層,
RPRNMLPJNHMFFBC87CA,18,34.99,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLMLNHMFFBC38CA,53,80.08,住家用,加強磚造,52年5月1日,二層,一層 二層
RPVNMLNLNHMFFBC28CA,22,47.00,住家用,鋼筋混凝土造,84年1月27日,九層,六層
RPVNMLNLNHMFFBC28CA,22,7.40,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPVNMLNLNHMFFBC28CA,22,1.16,共用部份,鋼筋混凝土造,84年1月27日,九層,
RPVNMLNLNHMFFBC28CA,22,47.00,住家用,鋼筋混凝土造,84年1月27日,九層,六層
RPVNMLNLNHMFFBC28CA,22,7.40,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPVNMLNLNHMFFBC28CA,22,1.16,共用部份,鋼筋混凝土造,84年1月27日,九層,
RPPOMLSJNHMFFBC08CA,41,61.32,住家用,加強磚造,64年11月4日,二層,一層 二層
RPSNMLKKNHMFFBC57CA,19,193.43,住家用,鋼筋混凝土造,87年4月8日,四層,一層 二層 三層 四層 停車場
RPQNMLSJNHMFFBC18DA,48,55.12,住家用,加強磚造,58年7月31日,四層,二層
RPQOMLSJNHMFFCC38DA,22,79.86,住家用,鋼筋混凝土造,84年1月17日,五層,二層
RPQOMLSJNHMFFCC38DA,22,12.48,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPQOMLSJNHMFFCC38DA,22,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPRNMLOLNHMFFBC08DA,19,28.38,住家用,鋼筋混凝土造,86年11月21日,十八層,十六層
RPRNMLOLNHMFFBC08DA,19,6.83,共用部份,鋼筋混凝土造,86年11月21日,十八層,
RPRNMLOLNHMFFBC08DA,19,2.50,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPSNMLMKNHMFFBC87DA,18,91.32,住家用,鋼筋混凝土造,88年1月14日,十六層,六層
RPSNMLMKNHMFFBC87DA,18,13.92,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLMKNHMFFBC87DA,18,5.39,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLMKNHMFFBC87DA,18,43.43,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLMKNHMFFBC87DA,18,2.19,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLMKNHMFFBC87DA,18,1.06,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPSNMLPLNHMFFCC28CA,33,87.43,住商用,鋼筋混凝土造,73年6月29日,五層,一層 騎樓 停車場
RPUOMLLJOHMFFCC08CA,26,131.07,住家用,鋼筋混凝土造,80年7月27日,五層,一層
RPUOMLLJOHMFFCC08CA,26,4.59,共用部份,鋼筋混凝土造,80年7月27日,五層,
RPRNMLOLNHMFFCC08CA,27,79.66,商業用,鋼筋混凝土造,79年8月17日,九層,地下層
RPRNMLOLNHMFFCC08CA,27,215.12,住家用,鋼筋混凝土造,79年8月17日,九層,二層
RPRNMLOLNHMFFCC08CA,27,1.88,共用部份,鋼筋混凝土造,79年8月17日,九層,
RPUPMLNLNHMFFCC48CA,22,93.21,住家用,鋼筋混凝土造,84年1月17日,五層,二層
RPUPMLNLNHMFFCC48CA,22,15.83,共用部份,鋼筋混凝土造,84年1月17日,五層,
RPUPMLNLNHMFFCC48CA,22,2.91,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,三層 一層 二層 四層
RPXNMLKKNHMFFBC08CA,18,91.37,住家用,鋼筋混凝土造,88年1月14日,十六層,七層
RPXNMLKKNHMFFBC08CA,18,12.98,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLKKNHMFFBC08CA,18,1.11,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLKKNHMFFBC08CA,18,3.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLKKNHMFFBC08CA,18,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLKKNHMFFBC08CA,18,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLKKNHMFFBC08CA,18,41.38,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLKKNHMFFBC27CA,18,92.44,住家用,鋼筋混凝土造,88年1月14日,十六層,六層
RPOOMLKKNHMFFBC27CA,18,12.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLKKNHMFFBC27CA,18,1.11,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLKKNHMFFBC27CA,18,3.30,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLKKNHMFFBC27CA,18,2.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPOOMLKKNHMFFBC27CA,18,1.09,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPVOMLTJNHMFFBC78CA,21,98.78,住家用,鋼筋混凝土造,85年3月9日,十四層,十三層
RPVOMLTJNHMFFBC78CA,21,17.93,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPOOMLMKNHMFFBC47CA,43,48.50,住家用,加強磚造,62年12月13日,二層,一層 二層
RPWNMLNLNHMFFBC38CA,18,57.41,住家用,鋼筋混凝土造,88年1月14日,十五層,十四層
RPWNMLNLNHMFFBC38CA,18,9.66,共用部份,鋼筋混凝土造,88年1月14日,十五層,
RPWNMLNLNHMFFBC38CA,18,4.42,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLNLNHMFFBC38CA,18,45.95,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLNLNHMFFBC38CA,18,1.46,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPWNMLNLNHMFFBC38CA,18,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPXNMLNLNHMFFBC48CA,21,105.40,住家用,鋼筋混凝土造,84年11月17日,八層,二層
RPXNMLNLNHMFFBC48CA,21,10.84,共用部份,鋼筋混凝土造,84年11月17日,八層,
RPXNMLNLNHMFFBC48CA,21,44.47,共用部份,鋼筋混凝土造,84年11月17日,八層,
RPXOMLKKNHMFFCC28CA,16,70.19,住家用,鋼筋混凝土造,87年12月10日,五層,四層
RPXOMLKKNHMFFCC28CA,20,3.34,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPXOMLKKNHMFFCC28CA,16,28.92,共用部份,鋼筋混凝土造,87年12月10日,五層,
RPQNMLLKNHMFFCC57CA,18,211.53,住家用,鋼筋混凝土造,88年8月17日,四層,一層 二層 三層 四層
RPSOMLKKNHMFFCC77CA,37,57.41,住家用,鋼筋混凝土造,68年12月27日,四層,三層
RPUOMLKKNHMFFCC97CA,34,41.02,住家用,鋼筋混凝土造,72年3月31日,五層,四層
RPQNMLQKNHMFFCC08CA,1,88.17,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,十三層
RPQNMLQKNHMFFCC08CA,1,81.52,見其他登記事項,鋼筋混凝土造,104年12月28日,十五層,
RPTOMLPKNHMFFCC38CA,25,147.77,工業用,鋼筋混凝土造,81年6月12日,六層,五層
RPTOMLPKNHMFFCC38CA,25,85.88,共用部份,鋼筋混凝土造,81年6月12日,六層,
RPWOMLPKNHMFFCC68CA,22,45.38,住家用,鋼筋混凝土造,84年8月8日,六層,四層
RPWOMLPKNHMFFCC68CA,22,7.19,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPWOMLPKNHMFFCC68CA,22,9.12,共用部份,鋼筋混凝土造,84年8月8日,六層,
RPXNMLLKNHMFFCC28CA,19,111.74,商業用,鋼筋混凝土造,87年7月10日,五層,一層 騎樓
RPXNMLLKNHMFFCC28CA,22,3.34,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 四層 三層
RPXNMLLKNHMFFCC28CA,19,37.96,共用部份,鋼筋混凝土造,87年7月10日,五層,
RPUOMLMKNHMFFCC18CA,21,68.25,住家用,鋼筋混凝土造,85年2月16日,七層,六層
RPUOMLMKNHMFFCC18CA,21,13.18,共用部份,鋼筋混凝土造,85年2月16日,七層,
RPPOMLKKNHMFFCC47CA,1,77.18,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,二層
RPPOMLKKNHMFFCC47CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPPOMLKKNHMFFCC47CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLKKNHMFFCC47CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPPOMLKKNHMFFCC47CA,1,.74,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPPOMLKKNHMFFCC47CA,1,45.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPSNMLMKNHMFFCC87CA,1,106.28,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,八層
RPSNMLMKNHMFFCC87CA,1,1.02,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
