鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
中西區,建物,臺南市中西區青年路1~30號,0.0,,,,1060223,土地0建物1車位0,全,2,透天厝,住家用,見其他登記事項,0180516,106.2,4,2,2,有,無,無,50000,471,,0.0,0,,RPVNMLTJLHMFFAD68CC
安平區,房地(土地+建物),臺南市安平區安北路152巷1~30號,88.06,住,,,1060307,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830303,67.21,5,2,4,有,無,有,23000,342,,0.0,0,,RPPNMLKKLHMFFAD27CC
中西區,房地(土地+建物),臺南市中西區民生路二段301~330號,129.0,住,,,1060301,土地1建物1車位0,全,2,透天厝,住家用,磚造,0510101,135.8,2,1,2,有,無,無,23000,169,,0.0,0,,RPPOMLPKLHMFFAD87CC
安南區,建物,臺南市安南區北安路三段145巷1~30號,0.0,住,,,1060314,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0840309,146.22,3,2,4,有,無,有,16000,109,,0.0,0,,RPQNMLPKLHMFFBD97CC
安南區,建物,臺南市安南區安和路一段150巷20弄1~30號,0.0,住,,,1060302,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0661027,72.16,4,2,2,有,無,無,14000,194,,0.0,0,,RPVNMLQKLHMFFBD58CC
善化區,房地(土地+建物),臺南市善化區信義路181~210號,88.03,其他,,,1060317,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0910913,149.26,7,1,4,有,無,有,22000,147,,0.0,0,,RPRNMLRKLHMFFER37CC
安平區,房地(土地+建物),臺南市安平區建平8街421~450號,0.0,住,,,1060307,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0760806,121.6,5,2,4,有,無,無,21000,173,,0.0,0,,RPPNMLRKLHMFFAD97CC
中西區,建物,臺南市中西區忠孝街116巷1~30號,0.0,住,,,1060319,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0610622,71.92,4,2,4,有,無,無,12000,167,,0.0,0,,RPPPMLKLLHMFFAD57CC
歸仁區,房地(土地+建物),臺南市歸仁區中正南路二段31~60號,276.8,住,,,1060307,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0961009,157.48,5,2,4,有,無,無,50000,318,,0.0,0,,RPRNMLLLLHMFFFR96CC
善化區,房地(土地+建物),臺南市善化區光復路181~210號,343.0,住,,,1060324,土地1建物1車位0,全,3,透天厝,住商用,鋼骨鋼筋混凝土造,0920916,397.11,5,3,3,有,無,無,20000,50,,0.0,0,,RPTNMLOLLHMFFER37CC
新市區,房地(土地+建物),臺南市新市區社內181~210號,3097.0,其他,,,1060320,土地1建物1車位0,見其他登記事項,2,農舍,農舍,見其他登記事項,0860811,206.64,0,0,0,無,無,有,88000,,,0.0,0,,RPPNMLPLLHMFFER07CC
安南區,建物,臺南市安南區海佃路一段246巷31~60號,0.0,,,,1060315,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0691110,141.72,6,2,3,有,無,有,25000,176,,0.0,0,,RPXNMLSLLHMFFBD09CC
北區,建物,臺南市北區中華北路二段1~30號,0.0,,,,1060319,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0780830,288.78,4,1,4,有,無,無,20000,69,,0.0,0,,RPROMLSLLHMFFAD48CC
永康區,建物,臺南市永康區大仁街31~60號,0.0,,,,1060310,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0701231,11.94,0,0,0,無,無,無,5000,419,,0.0,0,,RPWNMLSLLHMFFHR38CC
永康區,建物,臺南市永康區大武街18巷1~30號,0.0,住,,,1060313,土地0建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0781009,225.33,4,2,3,有,無,無,17000,75,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPPOMLSLLHMFFHR77CC
永康區,建物,臺南市永康區中華路1~30號,0.0,住,,,1060322,土地0建物1車位1,見其他登記事項,19,辦公商業大樓,見其他登記事項,見其他登記事項,1010817,544.29,0,0,0,無,有,無,150000,276,坡道平面,16.43,0,,RPUOMLSLLHMFFHR28CC
佳里區,房地(土地+建物),臺南市佳里區佳東路511~540號,103.39,住,,,1060317,土地1建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,1010808,203.86,4,3,5,有,無,無,25000,123,,0.0,0,,RPTNMLKMLHMFFDR07DC
新市區,建物,臺南市新市區光華街1~30號,0.0,工,,,1060330,土地0建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1040903,177.33,0,1,2,有,無,無,37000,,,0.0,0,,RPSNMLLMLHMFFER07CC
永康區,建物,臺南市永康區埔園街147巷6弄1~30號,0.0,住,,,1060401,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0940104,168.16,4,2,3,有,無,有,14000,83,,0.0,0,1.合約書無填具土地租賃面積.2.由所有權人提供出租資訊3.租金已包含車位,RPOOMLQJMHMFFHR37CC
永康區,房地(土地+建物),臺南市永康區永華路91~120號,96.0,商,,,1060409,土地2建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0870421,217.73,5,2,3,有,無,無,26000,119,,0.0,0,,RPQNMLMKMHMFFHR17CC
佳里區,房地(土地+建物),臺南市佳里區光復路361~390號,91.51,住,,,1060412,土地1建物0車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960605,91.51,0,0,0,無,無,無,19000,208,,0.0,0,僅出租一樓店面(前半段),RPOOMLNKMHMFFDR86DC
學甲區,房地(土地+建物),臺南市學甲區慈生里9鄰華宗路391~420號,216.74,住,,,1060406,土地2建物0車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0711203,264.2,8,2,3,有,無,無,12000,45,,0.0,0,建物樓層共4F,僅出租1-3F,RPPOMLNKMHMFFDR96DC
佳里區,房地(土地+建物),臺南市佳里區中山路1~30號,74.49,住,,,1060409,土地2建物1車位0,見其他登記事項,3,店面(店鋪),住商用,加強磚造,0670804,156.52,4,2,3,有,無,有,23000,147,,0.0,0,,RPVNMLOKMHMFFDR57DC
永康區,建物,臺南市永康區中華路703巷61~90號,0.0,住,,,1060413,土地0建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0740601,120.56,5,1,2,有,無,無,16500,137,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPOOMLOKMHMFFHR27CC
中西區,建物,臺南市中西區大新街60巷1~30號,0.0,,,,1060407,土地0建物1車位0,全,3,透天厝,住家用,加強磚造,0590113,174.37,4,2,3,有,無,無,10000,57,,0.0,0,,RPQRMLOLMHMFFAD38CC
北區,房地(土地+建物),臺南市北區文賢路218巷31~60號,97.2,住,,,1060417,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0700608,193.42,4,3,3,有,無,無,16000,83,,0.0,0,,RPRPMLPLMHMFFAD38CC
北區,建物,臺南市北區育德路599巷1~30號,146.25,住,,,1060407,土地0建物1車位0,見其他登記事項,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0910102,77.93,5,3,6,有,無,有,63000,808,,0.0,0,,RPSPMLPLMHMFFAD48CC
安平區,建物,臺南市安平區建平十二街386巷1~30號,0.0,,,,1060413,土地0建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0810725,253.92,5,3,4,有,無,無,27500,108,,0.0,0,,RPWOMLQLMHMFFAD88CC
安平區,建物,臺南市安平區安平路98巷1~30號,0.0,,,,1060424,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0621015,94.4,5,2,3,有,無,無,20000,212,,0.0,0,,RPTOMLRLMHMFFAD68CC
永康區,建物,臺南市永康區大灣路40巷191弄1~30號,0.0,,,,1060423,土地0建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0990402,161.13,5,3,4,有,無,有,25000,155,,0.0,0,,RPRNMLRLMHMFFHR87CC
永康區,建物,臺南市永康區大灣路942巷71弄31~60號,0.0,住,,,1060424,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830826,188.28,8,1,5,有,無,有,30000,159,,0.0,0,1.合約書無填具土地租賃面積2.由所有權人提供出租資訊3.租整棟透天,RPTNMLRLMHMFFHR08CC
佳里區,房地(土地+建物),臺南市佳里區東寧里東寧31~60號,118.0,住,,,1060423,土地1建物1車位0,全,2,透天厝,住商用,加強磚造,0690519,132.53,3,2,2,有,無,無,9000,68,,0.0,0,,RPTOMLRLMHMFFDR87DC
仁德區,建物,臺南市仁德區德崙路181~210號,0.0,,,,1060330,土地0建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0850409,233.02,7,2,4,有,無,無,28000,120,,0.0,0,1.租賃契約書無填寫土地租賃面積2.由所有權人提供租屋資訊,RPOOMLSLMHMFFFR57CC
永康區,建物,臺南市永康區中山東路218巷9弄1~30號,0.0,住,,,1060427,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0711209,92.96,5,1,2,有,無,有,16000,172,,0.0,0,,RPROMLSLMHMFFHR08CC
北區,建物,臺南市北區大興街290巷1~30號,0.0,,,,1060427,土地0建物1車位0,全,2,透天厝,,鋼筋混凝土造,0690616,74.22,3,4,2,有,無,無,12000,162,,0.0,0,,RPTPMLSLMHMFFAD88CC
永康區,房地(土地+建物),臺南市永康區大橋里大橋一街139巷22弄31~60號,114.0,住,,,1060419,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0750203,132.89,4,2,2,有,無,有,20000,151,,0.0,0,,RPQNMLKMMHMFFHR17CC
六甲區,房地(土地+建物),臺南市六甲區信義街91~120號,79.05,住,,,1060425,土地1建物1車位0,見其他登記事項,3,店面(店鋪),住家用,鋼筋混凝土造,0830912,174.3,5,1,3,有,無,無,13000,75,,0.0,0,,RPQOMLLJNHMFFCR66CC
中西區,土地,中正段781~810地號,36.01,住,,,1060426,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,8000,222,,0.0,0,,RPOOMLLJNHMFFAD47CC
東區,房地(土地+建物),臺南市東區中華東路二段31~60號,794.41,商,,,1060501,土地5建物2車位0,見其他登記事項,1,店面(店鋪),商業用,見其他登記事項,0800426,313.68,0,0,0,無,無,無,165000,526,,0.0,0,,RPRPMLLJNHMFFCD08CC
