編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLOKNHMFFDQ66CA,40,48.60,住家用,見其他登記事項,66年3月30日,一層,一層
RPUNMLQKNHMFFBQ27DA,44,268.61,工業用,見其他登記事項,62年10月10日,一層,一層
RPQNMLKKNHMFFBQ78CA,,279.70,住家用,鋼筋混凝土造,105年11月14日,四層,一層 二層 三層 四層
RPPNMLTJNHMFFDQ07CA,18,87.84,見其他登記事項,鋼筋混凝土造,88年5月31日,五層,一層
RPQNMLKMNHMFFCQ09CA,37,103.22,住家用,鋼筋混凝土加強磚造,69年3月31日,二層,一層 二層 電梯樓梯間
RPRNMLNLNHMFFCQ76CA,33,112.95,住家用,鋼筋混凝土加強磚造,73年8月3日,二層,一層 二層 騎樓 電梯樓梯間
RPSNMLTJNHMFFDQ37CA,11,189.33,見其他登記事項,鋼筋混凝土造,94年10月5日,四層,一層 二層 三層 四層
RPOOMLQKNHMFFBQ66CA,22,180.40,住商用,鋼筋混凝土造,83年11月1日,三層,一層 二層 三層 騎樓
RPUNMLKKNHMFFEQ86CA,2,188.39,住家用,鋼筋混凝土造,103年12月22日,四層,一層 二層 三層 四層
RPTNMLQLNHMFFBQ27DA,24,177.03,住商用,鋼筋混凝土造,82年8月4日,三層,一層 二層 三層 騎樓
RPWNMLTJNHMFFDQ77CA,24,156.58,住家用,鋼筋混凝土造,81年12月14日,三層,一層 二層 三層
RPOOMLTJNHMFFDQ07CA,37,79.06,住家用,鋼筋混凝土加強磚造,68年11月21日,二層,一層 二層
RPUNMLKLNHMFFDQ86CA,24,84.11,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,三層
RPUNMLKLNHMFFDQ86CA,24,10.67,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,
RPUNMLKLNHMFFDQ86CA,24,13.12,見其他登記事項,鋼筋混凝土造,82年10月6日,9,
RPPOMLTKNHMFFDQ27CA,40,70.08,住家用,鋼筋混凝土加強磚造,66年2月3日,二層,一層 二層
RPVNMLKKNHMFFCQ96EA,49,100.74,住家用,見其他登記事項,57年3月1日,一層,一層
RPUNMLKKNHMFFDQ76CA,12,16.15,見其他登記事項,鋼筋混凝土造,94年8月15日,五層,二層
RPRNMLQKNHMFFDQ07CA,1,309.08,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPSNMLQKNHMFFDQ17CA,1,142.07,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPUNMLQKNHMFFDQ37CA,1,166.06,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPTOMLOLNHMFFBQ07CA,12,56.20,商業用,鋼筋混凝土造,94年1月3日,五層,一層
RPTOMLOLNHMFFBQ07CA,12,6.28,見其他登記事項,鋼筋混凝土造,94年1月3日,五層,
RPVNMLKKNHMFFBQ66CA,1,190.82,住家用,鋼筋混凝土造,104年11月12日,四層,一層 二層 三層 四層
RPRNMLMKNHMFFCQ56CA,19,155.84,住家用,鋼筋混凝土造,86年12月18日,三層,一層 二層 三層 電梯樓梯間
RPVNMLTKNHMFFCQ67CA,25,243.49,住家用,鋼筋混凝土造,81年1月8日,三層,一層 二層 三層 電梯樓梯間
RPROMLLJOHMFFCQ56CA,20,102.09,住家用,鋼筋混凝土造,85年11月15日,五層,四層
RPQNMLTKNHMFFBQ07CA,7,.82,見其他登記事項,鋼筋混凝土造,98年11月11日,二層,一層 二層
RPQNMLTKNHMFFBQ07CA,7,210.79,住商用,鋼筋混凝土造,98年11月11日,四層,一層 二層 三層 四層
RPPNMLQLNHMFFEQ07CA,24,37.23,住家用,鋼筋混凝土造,82年4月1日,十八層,七層
RPPNMLQLNHMFFEQ07CA,24,7.34,見其他登記事項,鋼筋混凝土造,82年4月1日,十八層,
RPPNMLQLNHMFFEQ07CA,24,1.75,見其他登記事項,鋼筋混凝土造,82年4月1日,,
RPVNMLQKNHMFFDQ47CA,1,164.91,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPWNMLQKNHMFFDQ57CA,1,147.76,見其他登記事項,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPXNMLQKNHMFFDQ67CA,1,136.63,住家用,鋼筋混凝土造,105年7月26日,四層,一層 二層 三層 四層
RPUNMLLKNHMFFCQ86DA,35,116.13,住家用,鋼筋混凝土加強磚造,71年3月1日,二層,一層 二層 電梯樓梯間
