編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLTJNHMFFAD98CC,24,154.28,住商用,鋼筋混凝土造,82年10月18日,七層,
RPVOMLTJNHMFFAD98CC,24,42.96,共有部分,鋼筋混凝土造,82年10月18日,七層,
RPQPMLTJNHMFFAD58CC,27,50.82,住商用,鋼筋混凝土造,79年3月5日,四層,
RPPNMLKKNHMFFCD67CC,9,28.26,住家用,鋼筋混凝土構造,97年2月29日,十四層,
RPPNMLKKNHMFFCD67CC,9,6.97,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPPNMLKKNHMFFCD67CC,9,8.40,共有部分,鋼筋混凝土構造,97年2月29日,十四層,
RPRNMLKKNHMFFBD77CC,22,228.19,住商用,鋼筋混凝土造,84年6月16日,八層,
RPTPMLLKNHMFFAD18CC,37,597.08,住商用,鋼筋混凝土造,68年10月29日,八層,
RPUPMLLKNHMFFAD28CC,35,38.07,住商用,鋼筋混凝土造,71年2月26日,四層,
RPUPMLLKNHMFFAD28CC,35,18.00,住商用,鋼筋混凝土造,71年2月26日,四層,
RPWOMLLKNHMFFHR87CC,18,73.60,見使用執照,鋼筋混凝土造,88年4月26日,十二層,
RPRNMLMKNHMFFAR66CC,23,33.54,住家用,鋼筋混凝土造,83年2月7日,七層,
RPTNMLPKNHMFFFR67CC,12,210.81,住家用,鋼筋混凝土造,93年11月3日,四層,
RPQNMLPKNHMFFHR57CC,29,216.56,住商用,鋼筋混凝土造,77年3月21日,四層,
RPRNMLPKNHMFFHR67CC,21,285.36,住商用,鋼筋混凝土造,85年3月28日,五層,
RPSNMLPKNHMFFHR77CC,22,48.14,見其他登記事項,鋼筋混凝土造,84年3月31日,十五層,
