編號,車位類別,車位價格,車位面積平方公尺
RPXOMLSJNHMFFEE76CA,坡道平面,0,27.17
RPPOMLQJNHMFFEE38CA,坡道平面,0,24.28
RPPOMLQJNHMFFEE38CA,坡道平面,0,24.28
RPSNMLPJNHMFFEE48CA,坡道平面,0,
RPOOMLPJNHMFFEE18CA,坡道平面,1300000,47.98
RPROMLPJNHMFFEE48CA,坡道平面,1300000,47.98
RPUNMLOJNHMFFEE58CA,坡道平面,0,
RPVNMLKKNHMFFEE38CA,坡道平面,0,
RPVNMLKKNHMFFEE38CA,坡道平面,0,
RPTOMLKKNHMFFEE28CA,坡道機械,0,14.40
RPXOMLLKNHMFFEE78CA,坡道平面,1700000,22.99
RPXOMLLKNHMFFEE78CA,坡道平面,1700000,22.99
RPWPMLSJNHMFFEE76CA,坡道機械,0,11.16
RPXPMLSJNHMFFEE86CA,坡道平面,0,20.42
RPTPMLSJNHMFFEE09CA,坡道平面,0,20.42
RPXNMLQKNHMFFEE56CA,坡道平面,0,24.26
RPPNMLNKNHMFFEE08CA,坡道平面,1500000,16.97
RPUNMLNKNHMFFEE58CA,坡道平面,0,
RPUOMLPLNHMFFEE98CA,坡道平面,0,
RPUOMLPLNHMFFEE98CA,坡道平面,0,
RPVOMLSJNHMFFGE76CA,坡道平面,0,29.52
RPSOMLSJNHMFFGE09CA,坡道平面,0,
RPVNMLTJNHMFFGE76CA,坡道平面,0,24.79
RPWNMLTJNHMFFGE86CA,坡道平面,0,24.79
RPPNMLQJNHMFFGE48CA,坡道平面,1200000,28.14
RPTOMLRKNHMFFGE56CA,坡道平面,0,25.71
RPPNMLPKNHMFFGE48CA,坡道平面,0,
RPWOMLMKNHMFFGE98CA,坡道機械,0,
RPQNMLMKNHMFFGE28CA,坡道平面,0,25.60
RPXQMLQLNHMFFGE17CA,坡道平面,440000,26.03
RPORMLQLNHMFFGE98CA,坡道平面,440000,26.03
RPVNMLLLNHMFFGE78CA,坡道平面,0,15.54
RPVOMLLKNHMFFAE18CA,坡道平面,1700000,30.06
RPQNMLNKNHMFFAE77CA,坡道平面,1400000,13.04
RPWOMLOLNHMFFAE68CA,坡道平面,0,
RPVNMLPLNHMFFAE58CA,坡道平面,0,
RPVNMLLMNHMFFAE28CA,坡道機械,0,
RPWNMLLMNHMFFAE38CA,坡道平面,0,
RPUOMLSJNHMFFBE78CA,坡道平面,1800000,19.72
RPTOMLLJOHMFFAE97CA,坡道平面,0,
RPTOMLLJOHMFFAE97CA,坡道平面,0,
RPTOMLQKNHMFFCE68CA,坡道平面,1100000,23.22
RPUNMLSJNHMFFDE88CA,坡道平面,1500000,20.21
RPXNMLPJNHMFFDE88CA,升降平面,0,
RPSNMLOLNHMFFCE38CA,坡道平面,0,
RPWOMLSJNHMFFDE56CA,坡道平面,1300000,36.59
RPUOMLRKNHMFFDE98CA,坡道平面,0,
RPXNMLQLNHMFFDE56CA,坡道平面,0,32.33
RPXNMLQLNHMFFDE56CA,坡道平面,0,32.33
RPROMLNLNHMFFDE38CA,坡道平面,0,
RPSOMLNLNHMFFDE48CA,坡道平面,0,
RPWOMLNLNHMFFDE98DA,坡道平面,0,
RPROMLQKNHMFFLE76CA,一樓平面,0,
RPQNMLMKNHMFFLE78CA,坡道平面,0,
RPOOMLSJNHMFFIE88CA,坡道平面,0,
RPWNMLSKNHMFFIE07CA,坡道平面,0,
RPQQMLOLNHMFFIE09CA,坡道機械,0,
