鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.58999999999997,4,2,2,有,有,13330000,65798,坡道平面,0.0,0,,RPOQMLKKOHMFFCJ38CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.11,住,,,1060424,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.56,3,2,2,有,有,11540000,65733,坡道平面,0.0,0,,RPPQMLKKOHMFFCJ48CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.55,3,2,2,有,有,11620000,64717,坡道平面,0.0,0,,RPQNMLLKOHMFFCJ38CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.93,3,2,2,有,有,11300000,64230,坡道平面,0.0,0,,RPRNMLLKOHMFFCJ48CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,27.14,住,,,1060424,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,167.79000000000002,3,2,2,有,有,11000000,65558,坡道平面,0.0,0,,RPSNMLLKOHMFFCJ58CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,33.43,住,,,1060424,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,198.05,4,2,2,有,有,13420000,67761,坡道平面,0.0,0,,RPTNMLLKOHMFFCJ68CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,34.32,住,,,1060424,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,202.58999999999997,4,2,2,有,有,13420000,66242,坡道平面,0.0,0,,RPUNMLLKOHMFFCJ78CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.11,住,,,1060424,土地1建物1車位2,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,200.37,3,2,2,有,有,12450000,62135,坡道平面,0.0,0,,RPVNMLLKOHMFFCJ88CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,29.36,住,,,1060424,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,179.55,3,2,2,有,有,11790000,65664,坡道平面,0.0,0,,RPWNMLLKOHMFFCJ98CA
竹東鎮,房地(土地+建物)+車位,新竹縣竹東鎮竹中路180巷1~30號,28.68,住,,,1060424,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051227,175.94,3,2,2,有,有,11760000,66841,坡道平面,0.0,0,,RPXNMLLKOHMFFCJ09CA
